Full Name,Date of Birth,Gender,Marital Status,Driver’s License Number,License State,Years of Driving Experience,Accidents in Last 5 Years,Violations in Last 5 Years,Claims in Last 5 Years,Vehicle Year,Vehicle Make,Vehicle Model,VIN,Vehicle Usage,Annual Mileage,Ownership Status,Primary Parking Location,Home Address,ZIP Code,Insurance Provider,Has Continuous Insurance,Current Liability Limits,Deductible Preference,Coverage Type,Wants Optional Coverage,Willing to Use Telematics,Additional Driver Count,Consent to MVR Check,Consent to Insurance Report,Policies Taken
Jennifer Bass,1968-09-05,Non-binary,Single,Zmj8951343,GA,5,1,2,0,2005,Hyundai,Elantra,1HGCM82633A0003791,Business,19432,Owned,Garage,"9957 Ramos Forest, Leonburgh, TN 11615",60193,Allstate,False,25/100K,1000,Full Coverage,,False,2,True,True,"POL-1041, POL-1025"
Mark Lee,1987-05-28,Male,Married,CkV9579868,TX,18,2,1,2,2013,Honda,Civic,1HGCM82633A0774348,Business,8335,Leased,Driveway,"3201 Robinson Unions Suite 083, South Dennismouth, TN 70117",64018,USAA,False,100/100K,500,Liability Only,,False,1,True,True,"POL-1016, POL-1031"
Denise Jones,1963-06-11,Non-binary,Divorced,awt6690967,NY,11,3,3,2,2015,Toyota,Camry,1HGCM82633A0668893,Personal,6832,Owned,Driveway,"5812 Jesse Square Apt. 316, Riveramouth, MT 08662",64494,State Farm,True,50/300K,1000,Liability Only,"Roadside Assistance, Gap Coverage, Rental Reimbursement",False,0,True,True,"POL-1020, POL-1000"
Jeffrey Johnson,1963-10-09,Female,Widowed,fEb7556464,TX,40,1,1,0,2012,Hyundai,Elantra,1HGCM82633A0805310,Personal,19441,Financed,Garage,"272 Rebecca Ramp Apt. 162, Whiteview, MS 43407",99359,State Farm,False,50/300K,1000,Liability Only,"Roadside Assistance, Gap Coverage",False,0,True,True,"POL-1044, POL-1001"
David Combs,1951-02-12,Female,Divorced,SOp4966319,GA,53,1,1,0,2011,BMW,3 Series,1HGCM82633A0149190,Rideshare,8164,Financed,Street,"71937 Wang Expressway, Port Loriport, CT 76350",46009,Allstate,True,50/100K,1000,Full Coverage,"Roadside Assistance, Gap Coverage",False,0,True,True,"POL-1011, POL-1023, POL-1042"
Mary Jones,1991-04-13,Non-binary,Widowed,pfr8776945,TX,23,2,3,2,2006,Volkswagen,Passat,1HGCM82633A0737996,Rideshare,6894,Financed,Driveway,"7165 Zimmerman Mews, Lake Aimee, SD 35901",44593,State Farm,False,25/300K,500,Liability Only,Rental Reimbursement,False,0,True,True,POL-1016
Samuel White,1979-11-13,Non-binary,Divorced,QLx0143634,TX,33,2,3,1,2015,Hyundai,Sonata,1HGCM82633A0788568,Business,16423,Financed,Driveway,"4948 Zachary Field Apt. 367, Lake Thomas, VT 64833",43858,State Farm,True,50/300K,500,Liability Only,"Rental Reimbursement, Roadside Assistance",False,1,True,True,POL-1031
Jesse Parker,1973-12-04,Non-binary,Divorced,dJs2408240,MI,30,3,3,2,2023,Chevrolet,Equinox,1HGCM82633A0271094,Personal,13375,Financed,Driveway,"1823 Joanna Harbor, Tinaborough, LA 30317",62025,State Farm,True,50/300K,1000,Full Coverage,,True,2,True,True,POL-1026
Glen Sheppard,1975-04-03,Male,Single,NdN7749649,NY,16,3,0,1,2011,Nissan,Altima,1HGCM82633A0133412,Business,19518,Leased,Driveway,"16719 Edward Valleys Suite 131, Obrienbury, WI 68995",31940,State Farm,False,50/100K,250,Liability Only,,True,1,True,True,"POL-1009, POL-1008, POL-1014"
Benjamin Smith,2005-08-15,Male,Married,sCh2102499,GA,55,0,3,0,2021,Chevrolet,Malibu,1HGCM82633A0746488,Business,15937,Leased,Driveway,"0344 Jones Fort Suite 936, New Jeffreyberg, PW 35317",65223,Liberty Mutual,False,50/300K,1000,Full Coverage,"Roadside Assistance, Rental Reimbursement, Gap Coverage",False,0,True,True,"POL-1019, POL-1017, POL-1004"
Kyle Preston,2004-10-11,Female,Widowed,Qgk7175655,FL,5,2,1,1,2020,Nissan,Sentra,1HGCM82633A0567468,Business,10238,Leased,Garage,"13990 Johnston Track Apt. 787, Howardshire, NE 83703",5310,State Farm,True,25/100K,1000,Liability Only,Roadside Assistance,False,1,True,True,POL-1009
Ernest Morris,1991-09-27,Male,Married,sCS7703482,OH,54,3,3,2,2019,Hyundai,Sonata,1HGCM82633A0710932,Rideshare,5320,Leased,Street,"Unit 6808 Box 7603, DPO AP 47920",41231,Progressive,True,50/100K,500,Full Coverage,Rental Reimbursement,True,1,True,True,
Kristen Davis,1981-07-03,Female,Widowed,GVi3782639,OH,47,1,3,0,2005,Kia,Sorento,1HGCM82633A0146584,Rideshare,13751,Owned,Street,"Unit 1712 Box 7484, DPO AA 63743",837,Liberty Mutual,True,25/300K,500,Liability Only,"Roadside Assistance, Gap Coverage, Rental Reimbursement",False,1,True,True,"POL-1009, POL-1020"
Edwin Matthews,1980-05-09,Female,Divorced,cuV5339636,PA,49,3,2,0,2015,Chevrolet,Equinox,1HGCM82633A0766270,Business,5317,Leased,Driveway,"Unit 7278 Box 7558, DPO AP 49942",17048,Geico,False,25/300K,250,Liability Only,,True,0,True,True,
Leslie Kane,1992-01-09,Male,Widowed,oVf7809134,FL,43,0,1,1,2009,Toyota,RAV4,1HGCM82633A0611724,Rideshare,9198,Financed,Garage,"87026 Charles Tunnel Suite 596, Port Markside, MS 42006",4295,Liberty Mutual,True,25/100K,250,Liability Only,"Gap Coverage, Rental Reimbursement",False,2,True,True,
Robert Carter,1959-02-09,Male,Divorced,sRI3747407,FL,55,0,0,1,2023,Chevrolet,Malibu,1HGCM82633A0217594,Rideshare,12018,Leased,Street,"86922 Christian Ways, Harveybury, NM 76936",84247,Geico,False,25/100K,500,Liability Only,"Rental Reimbursement, Gap Coverage, Roadside Assistance",False,0,True,True,
Melissa Bryant,2000-01-29,Non-binary,Widowed,NqR7439533,MI,30,3,2,1,2013,Mercedes-Benz,GLC,1HGCM82633A0210470,Personal,18610,Owned,Street,"1369 Andrews Squares Suite 064, New Michelleton, PW 79983",76466,Progressive,True,50/300K,1000,Full Coverage,"Roadside Assistance, Rental Reimbursement",False,0,True,True,"POL-1035, POL-1034, POL-1036"
Carlos Browning,1995-05-24,Female,Divorced,IhD6851604,IL,57,2,0,2,2016,BMW,3 Series,1HGCM82633A0549651,Personal,6402,Owned,Driveway,"32858 Rivas Glens Suite 451, Mccartyberg, WV 30072",88953,Progressive,False,100/50K,1000,Full Coverage,"Rental Reimbursement, Roadside Assistance, Gap Coverage",False,0,True,True,
Alexander Henson,1985-12-12,Non-binary,Divorced,VUj2675869,IL,31,2,3,2,2012,Kia,Sportage,1HGCM82633A0617964,Rideshare,10419,Financed,Driveway,"174 Wilson Cape, West Wendyville, CT 31276",4789,Progressive,False,50/100K,250,Liability Only,Rental Reimbursement,True,2,True,True,POL-1046
Claudia Wallace,1963-05-02,Male,Widowed,XjY1839335,FL,18,2,0,0,2010,Mercedes-Benz,GLC,1HGCM82633A0904228,Business,8727,Financed,Garage,"58506 Lopez Crossing Suite 139, North Kristinbury, DC 74501",33354,Allstate,True,100/300K,250,Full Coverage,,True,2,True,True,
Ashley Delacruz,1964-06-11,Male,Single,EzB9084700,GA,37,2,3,1,2009,Nissan,Sentra,1HGCM82633A0177115,Business,10582,Owned,Garage,"95024 David Manor Apt. 177, Williamville, NV 66540",80231,Allstate,False,25/50K,500,Full Coverage,,True,0,True,True,
Cameron Weber,1976-07-02,Male,Single,jRE6156545,TX,36,3,1,2,2014,Ford,Focus,1HGCM82633A0111161,Business,12381,Financed,Street,"9847 Garcia Squares Apt. 836, Beasleychester, MA 59942",98095,USAA,False,50/300K,1000,Liability Only,,True,2,True,True,"POL-1036, POL-1026, POL-1003"
Robin Hawkins,1994-01-22,Male,Married,WrK7315851,NY,36,0,1,0,2007,Chevrolet,Equinox,1HGCM82633A0368998,Business,12381,Leased,Driveway,"165 Parrish Stravenue Apt. 494, Dalehaven, IL 20781",3942,Progressive,False,25/50K,500,Full Coverage,"Roadside Assistance, Gap Coverage, Rental Reimbursement",True,1,True,True,"POL-1000, POL-1041, POL-1027"
Mary Steele,1972-07-26,Female,Married,djk2545991,NY,5,0,1,1,2012,Honda,CR-V,1HGCM82633A0901476,Rideshare,17270,Leased,Street,"455 Howard Divide Suite 120, Lake Alyssafurt, MT 59961",64157,Progressive,True,50/300K,500,Full Coverage,"Gap Coverage, Rental Reimbursement",False,0,True,True,"POL-1045, POL-1047, POL-1049"
Jennifer Lewis,1971-09-12,Non-binary,Divorced,ITo1076226,PA,2,0,1,2,2018,Volkswagen,Jetta,1HGCM82633A0885160,Rideshare,14619,Owned,Driveway,"1497 Williams Locks Apt. 034, Port Derrick, KS 38439",57677,USAA,False,100/50K,250,Full Coverage,"Rental Reimbursement, Roadside Assistance, Gap Coverage",False,0,True,True,"POL-1004, POL-1017"
Thomas Atkins,1976-08-14,Female,Single,Xke8164535,PA,55,1,2,1,2018,BMW,X5,1HGCM82633A0818835,Rideshare,13117,Financed,Driveway,"641 Smith Islands Apt. 975, South Meganbury, NE 77685",46520,Progressive,True,50/50K,500,Full Coverage,"Roadside Assistance, Rental Reimbursement",True,2,True,True,"POL-1034, POL-1012"
Sabrina Briggs,1979-12-01,Male,Divorced,ECO9955271,CA,40,3,3,0,2018,Mercedes-Benz,E-Class,1HGCM82633A0449058,Personal,9375,Leased,Garage,"3292 Gregory Trail, Marshallshire, WV 76453",10225,Allstate,False,100/100K,250,Liability Only,Gap Coverage,True,1,True,True,POL-1026
Jesse Brown,1971-04-01,Male,Married,ZvT9782071,OH,54,0,3,0,2022,Mercedes-Benz,C-Class,1HGCM82633A0182037,Rideshare,18633,Owned,Street,"199 Ford Plaza, South Reginashire, SD 25173",58096,Farmers,False,100/300K,500,Full Coverage,"Rental Reimbursement, Roadside Assistance, Gap Coverage",True,1,True,True,
Lisa Cox,1995-07-14,Male,Divorced,LQj6449251,NY,50,3,2,2,2021,Chevrolet,Silverado,1HGCM82633A0546291,Business,18443,Owned,Street,"PSC 6659, Box 0515, APO AE 73634",41078,Farmers,False,100/300K,1000,Full Coverage,Rental Reimbursement,False,1,True,True,
Maria Murphy,1964-10-13,Female,Divorced,VHc2214188,OH,56,1,1,2,2022,Hyundai,Sonata,1HGCM82633A0592962,Business,8826,Financed,Garage,"685 Michael Falls, West Stacey, NM 25667",21767,Allstate,False,100/100K,500,Liability Only,"Roadside Assistance, Gap Coverage, Rental Reimbursement",True,1,True,True,"POL-1030, POL-1016"
Michael Weber,1965-04-17,Non-binary,Married,CDX8347359,CA,27,1,0,1,2019,Honda,CR-V,1HGCM82633A0468862,Business,10546,Leased,Driveway,"PSC 7065, Box 3794, APO AP 59342",26675,Progressive,True,50/300K,1000,Full Coverage,"Gap Coverage, Rental Reimbursement",True,2,True,True,
Brenda Wright,1973-02-26,Non-binary,Single,yfx0606853,FL,28,0,0,1,2014,Honda,Civic,1HGCM82633A0305152,Personal,16370,Financed,Garage,"181 Miller Estates Suite 782, Davisbury, GU 59631",18536,Geico,False,25/100K,500,Full Coverage,"Roadside Assistance, Gap Coverage, Rental Reimbursement",True,0,True,True,"POL-1046, POL-1034"
Thomas Kennedy,2003-05-24,Non-binary,Married,bOG9711798,MI,32,1,1,1,2017,Ford,F-150,1HGCM82633A0932460,Rideshare,9161,Financed,Street,"9010 Lewis Drive Suite 143, Davidbury, MT 84249",81085,Farmers,True,50/100K,1000,Liability Only,,False,1,True,True,POL-1003
Kenneth Lopez,1994-01-31,Female,Divorced,vPl1952058,IL,13,3,3,0,2018,Volkswagen,Passat,1HGCM82633A0772217,Personal,11248,Leased,Street,"88888 Peter Mountains Apt. 654, West Kristinastad, IA 96569",5348,Liberty Mutual,False,100/100K,250,Full Coverage,"Roadside Assistance, Gap Coverage",False,1,True,True,"POL-1037, POL-1010"
Andrew Gonzalez,1999-12-14,Non-binary,Married,ZHr7652775,FL,40,2,1,2,2016,Chevrolet,Silverado,1HGCM82633A0161692,Personal,19801,Leased,Driveway,"687 Johnson Rue Apt. 450, Joshuastad, NE 52932",71997,Geico,False,50/50K,1000,Full Coverage,Roadside Assistance,False,1,True,True,POL-1010
Brian Murphy,2003-11-19,Non-binary,Divorced,epX2029702,NY,34,2,1,1,2011,Kia,Optima,1HGCM82633A0556909,Business,18213,Financed,Driveway,"627 West Stream Suite 964, North Emilyfurt, MN 67752",20612,USAA,False,25/100K,250,Liability Only,Gap Coverage,False,2,True,True,POL-1011
Tiffany Watson,1957-05-19,Female,Single,mhi4473947,CA,30,2,2,2,2017,Hyundai,Elantra,1HGCM82633A0172715,Business,18474,Leased,Street,"565 Wright Crescent, Lake Jacobhaven, MS 74120",88036,Geico,True,50/50K,1000,Full Coverage,Gap Coverage,True,2,True,True,"POL-1032, POL-1035"
Austin Daniels,1987-01-26,Male,Married,etz9578291,OH,3,0,2,1,2014,BMW,5 Series,1HGCM82633A0786691,Personal,6592,Owned,Driveway,"258 David Flats, East Kristy, AK 47804",16927,State Farm,False,50/100K,1000,Full Coverage,Rental Reimbursement,True,1,True,True,POL-1004
Maria Cole,1968-09-12,Non-binary,Divorced,NIf1438424,CA,14,3,3,0,2013,Volkswagen,Passat,1HGCM82633A0829922,Business,6627,Leased,Street,"89226 Marie Path Apt. 422, Sarahbury, MI 68513",86842,Liberty Mutual,False,25/100K,500,Liability Only,,False,0,True,True,POL-1017
Stephanie Morgan,1992-11-07,Female,Married,ZZR0784473,CA,9,1,0,2,2005,Chevrolet,Silverado,1HGCM82633A0647102,Personal,14607,Owned,Garage,"PSC 0010, Box 9439, APO AA 81517",58120,Allstate,True,100/50K,500,Liability Only,Gap Coverage,False,0,True,True,
John Peterson,1969-02-12,Male,Divorced,Uum6963259,NY,51,1,2,0,2005,Honda,CR-V,1HGCM82633A0278774,Personal,9347,Owned,Garage,"562 Robertson Coves Suite 371, Shannonberg, CT 07133",65692,Farmers,False,100/50K,1000,Liability Only,"Rental Reimbursement, Gap Coverage, Roadside Assistance",False,2,True,True,"POL-1003, POL-1033"
Tony Wagner,1981-05-23,Female,Widowed,UxW4801624,NC,42,0,0,1,2006,Chevrolet,Silverado,1HGCM82633A0650609,Business,11984,Leased,Garage,"Unit 3950 Box 0479, DPO AP 88649",74139,Progressive,False,25/50K,500,Liability Only,,True,1,True,True,POL-1031
Juan Jones,1952-06-14,Non-binary,Divorced,MGi0257872,NC,25,2,3,2,2023,Volkswagen,Tiguan,1HGCM82633A0595269,Rideshare,12048,Owned,Driveway,"912 Phillip Underpass Suite 852, New William, NY 05777",97405,Geico,True,50/100K,250,Full Coverage,"Rental Reimbursement, Gap Coverage",False,2,True,True,POL-1015
Linda Romero,1998-06-17,Non-binary,Divorced,jRp0972896,PA,24,1,3,0,2018,Honda,Accord,1HGCM82633A0091307,Personal,18627,Owned,Garage,"947 Micheal Spring Apt. 694, New Thomasshire, OK 30325",41617,Progressive,True,100/300K,500,Liability Only,,False,2,True,True,"POL-1044, POL-1025"
Jason Harris,1973-06-23,Non-binary,Single,tot4973348,OH,19,2,2,0,2016,Honda,Accord,1HGCM82633A0437575,Rideshare,13313,Owned,Garage,"028 Ann Shore Suite 865, South Rhonda, MA 72102",73965,Farmers,False,25/50K,500,Full Coverage,,False,2,True,True,
Rebecca Hill,1996-09-28,Non-binary,Single,dQH4219933,MI,39,2,0,0,2022,Chevrolet,Equinox,1HGCM82633A0330165,Business,16513,Financed,Street,"5240 Moses Common Suite 747, East Maria, KY 74165",94526,Allstate,True,25/50K,1000,Full Coverage,,True,2,True,True,"POL-1041, POL-1010, POL-1043"
Michael Taylor,2001-09-05,Female,Widowed,lcz1938026,FL,30,2,1,1,2021,Toyota,Camry,1HGCM82633A0724004,Business,16822,Financed,Driveway,"Unit 2677 Box 3454, DPO AP 08255",74944,Liberty Mutual,True,25/50K,250,Liability Only,,False,1,True,True,"POL-1036, POL-1029"
Tanya Rogers,1992-10-31,Female,Married,liE6685161,OH,49,0,2,1,2019,Kia,Sorento,1HGCM82633A0530463,Personal,9640,Leased,Driveway,"87431 Martin Mount Suite 205, Ashleyborough, HI 80580",59055,Liberty Mutual,False,100/300K,500,Liability Only,Rental Reimbursement,True,0,True,True,
Tiffany Turner,1964-05-25,Female,Divorced,ASJ3272795,NY,21,0,0,1,2011,Chevrolet,Equinox,1HGCM82633A0783391,Rideshare,12055,Owned,Garage,"5301 Parker Lodge, Hannahport, MN 81061",69380,Progressive,True,100/300K,1000,Full Coverage,,False,2,True,True,"POL-1029, POL-1019"
Michael Miller,1982-08-19,Male,Divorced,ADK1870728,GA,37,3,3,2,2005,Toyota,Corolla,1HGCM82633A0087406,Rideshare,11843,Financed,Garage,"839 Franklin Walk, Wilsonborough, VT 76935",33853,Progressive,True,50/50K,1000,Full Coverage,"Roadside Assistance, Rental Reimbursement",True,0,True,True,
Nichole Lane,1977-12-22,Male,Widowed,iPw5676618,NC,56,2,2,0,2017,Kia,Sportage,1HGCM82633A0128682,Business,17765,Owned,Garage,"180 Valerie Mountains Apt. 462, Port Darlene, VA 85157",95902,Liberty Mutual,True,100/300K,250,Full Coverage,"Gap Coverage, Roadside Assistance",True,0,True,True,"POL-1027, POL-1030, POL-1049"
Sandy Avila,1968-02-16,Non-binary,Married,neg3106903,NY,49,0,1,2,2011,Ford,Escape,1HGCM82633A0907903,Business,12601,Leased,Driveway,"Unit 7868 Box 6337, DPO AA 20833",97565,Progressive,False,100/100K,250,Full Coverage,,False,1,True,True,
Jeffrey Fernandez,1968-02-03,Female,Single,dwP0892687,CA,20,3,3,0,2023,Nissan,Rogue,1HGCM82633A0685662,Personal,11041,Financed,Garage,"84395 Young Wells, Lake Adriana, MT 39888",39807,Farmers,True,100/300K,1000,Full Coverage,"Gap Coverage, Roadside Assistance, Rental Reimbursement",True,1,True,True,"POL-1004, POL-1036"
Paul Wells,1955-08-30,Male,Widowed,cem8304699,NY,7,2,0,2,2021,Volkswagen,Passat,1HGCM82633A0983735,Rideshare,7827,Owned,Garage,"270 Faulkner Point Apt. 634, West Deborah, NV 49138",40240,Farmers,False,50/300K,1000,Liability Only,"Rental Reimbursement, Gap Coverage",False,1,True,True,POL-1006
Alexis Giles,1996-09-14,Male,Divorced,yDI9363854,PA,7,3,2,1,2006,Hyundai,Sonata,1HGCM82633A0544587,Rideshare,18952,Leased,Driveway,"USS Burgess, FPO AA 32298",61581,USAA,True,50/50K,1000,Liability Only,"Rental Reimbursement, Gap Coverage",True,2,True,True,
William Harrison,1977-10-13,Non-binary,Divorced,pFJ4235369,OH,53,1,0,2,2022,Honda,Accord,1HGCM82633A0547772,Rideshare,11937,Leased,Street,"5609 Joyce Brook, Angelashire, OR 94874",96546,Geico,False,50/50K,250,Full Coverage,"Roadside Assistance, Gap Coverage, Rental Reimbursement",True,0,True,True,"POL-1042, POL-1015"
Caroline Cortez,1983-10-14,Non-binary,Single,baI7509977,NC,43,2,1,2,2021,Nissan,Altima,1HGCM82633A0860084,Business,7527,Owned,Garage,"010 Robert Ville, North Jasmine, AL 29169",70721,USAA,True,100/100K,250,Full Coverage,"Gap Coverage, Roadside Assistance",False,2,True,True,POL-1037
Alicia Li,1965-12-01,Non-binary,Married,yJE3410166,FL,20,3,1,1,2019,Nissan,Sentra,1HGCM82633A0002176,Rideshare,14345,Financed,Street,"18233 Ochoa Grove, Millerfurt, NH 74556",85030,USAA,False,50/300K,1000,Full Coverage,Roadside Assistance,True,1,True,True,"POL-1003, POL-1017"
Kylie Hodge,1989-04-25,Non-binary,Single,KyR2614293,PA,46,0,2,0,2020,Toyota,RAV4,1HGCM82633A0856218,Personal,9469,Financed,Driveway,"39740 Gabrielle Harbors, East Sarahmouth, AK 27653",98209,State Farm,False,25/50K,500,Full Coverage,,False,0,True,True,POL-1032
Amy Kim,1955-03-14,Female,Single,yTY9431142,FL,24,1,0,1,2016,Kia,Sportage,1HGCM82633A0265511,Personal,18749,Leased,Driveway,"996 Johnson Groves Suite 735, Reynoldsshire, TN 50317",1181,Allstate,True,25/50K,500,Full Coverage,Gap Coverage,False,1,True,True,
Jill Juarez,1950-03-17,Female,Married,HkR4661839,CA,54,1,3,0,2007,Volkswagen,Jetta,1HGCM82633A0622444,Business,8893,Financed,Garage,"67888 Garcia Corners, Angelamouth, VI 50994",65135,Geico,True,50/300K,1000,Full Coverage,,True,1,True,True,"POL-1009, POL-1020"
Christopher Hill,1975-03-22,Non-binary,Married,uMS5756924,NC,46,1,2,1,2005,Volkswagen,Tiguan,1HGCM82633A0375265,Personal,15073,Financed,Garage,"4379 Stephen Dale, Adamfurt, MA 81790",38701,Liberty Mutual,False,25/300K,1000,Liability Only,"Roadside Assistance, Gap Coverage",False,1,True,True,"POL-1021, POL-1019, POL-1040"
Mackenzie Faulkner,1954-01-27,Female,Single,TBY6724342,PA,23,0,2,0,2017,Toyota,RAV4,1HGCM82633A0617979,Rideshare,15765,Leased,Garage,"4651 Brittany Plains Apt. 807, South Lauren, MP 91312",53035,USAA,False,25/50K,500,Full Coverage,Gap Coverage,False,2,True,True,POL-1035
Tammy Kane,1995-06-21,Male,Widowed,oGV6561014,NY,3,2,1,0,2010,BMW,5 Series,1HGCM82633A0889937,Personal,19512,Owned,Street,"8911 Diane Knoll, Lake Cheyenne, OK 85046",49537,Allstate,False,100/100K,500,Liability Only,Rental Reimbursement,False,0,True,True,"POL-1017, POL-1038"
Raymond Chapman,1981-10-09,Female,Widowed,ZTh1775140,PA,48,3,3,1,2008,Hyundai,Tucson,1HGCM82633A0051238,Personal,13129,Leased,Street,"71461 Marie Stream Apt. 545, Muellerhaven, NJ 46153",23366,Allstate,False,25/300K,500,Liability Only,"Gap Coverage, Roadside Assistance, Rental Reimbursement",False,0,True,True,
Erin Simmons,2000-07-25,Female,Widowed,mDh1918255,IL,11,3,2,1,2014,Honda,Accord,1HGCM82633A0478596,Personal,16908,Financed,Driveway,"226 Johnson Ridges Apt. 796, Smithborough, IL 36984",80626,Progressive,False,100/50K,250,Full Coverage,"Gap Coverage, Roadside Assistance",True,0,True,True,"POL-1027, POL-1006, POL-1042"
Brian Bell,1958-12-27,Male,Single,BlF8669296,CA,16,2,2,1,2019,Volkswagen,Tiguan,1HGCM82633A0828274,Rideshare,5530,Leased,Garage,"499 Emily Island, East Kevinburgh, MN 91391",18889,Farmers,False,50/100K,500,Liability Only,Gap Coverage,False,1,True,True,POL-1016
Ryan Harvey,1954-12-29,Male,Single,Isk9034043,FL,48,1,3,2,2013,Hyundai,Sonata,1HGCM82633A0797881,Business,19967,Leased,Garage,"2368 Ortiz Overpass, Mckinneymouth, NM 22423",75567,Allstate,False,100/100K,250,Full Coverage,"Roadside Assistance, Gap Coverage, Rental Reimbursement",True,1,True,True,
